10055548_0.java,49,61,geotools-2/geotools-2.7-M3/modules/library/main/src/main/java/org/geotools/filter/capability/OperatorImpl.java,21,33,AUTO-D,accidentally similar hashCode() and equals(),EX-D,similar way of writing hashCode() and equals()
10055548_0.java,49,61,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/pagination/Entry.java,35,47,AUTO-D,accidentally similar hashCode() and equals(),EX-D,accidentally similar hashCode() and equals()
10055548_0.java,49,61,spring-framework-3.0.5/spring-framework-3.0.5.RELEASE/projects/org.springframework.context/src/test/java/org/springframework/context/annotation/AnnotationConfigApplicationContextTests.java,197,209,AUTO-D,accidentally similar hashCode() and equals(),EX-D,accidentally similar hashCode() and equals()
10194435_0.java,5,21,eXoPortal-v1/exo/services/organization/impl/src/java/org/exoplatform/services/organization/impl/UserImpl.java,33,49,AUTO-D,similar getters & setters methods,EX-D,accidentally similar getter:     public String getFirstname() {
12776901_0.java,1,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/Order.java,45,61,AUTO-D,accidentally similar hashCode() and equals(),EX-F,accidental similarity
12776901_0.java,1,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/derivedidentities/bidirectional/Product.java,29,45,AUTO-D,accidentally similar hashCode() and equals(),EX-F,accidental similarity
12776901_0.java,1,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/manytoonewithformula/Model.java,14,30,AUTO-D,accidentally similar hashCode() and equals(),EX-F,accidental similarity
12776901_0.java,5,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/test/java/org/hibernate/test/annotations/manytoonewithformula/Model.java,18,30,AUTO-D,accidentally similar hashCode() and equals(),EX-D,similar way of writing hashCode() and equals()
12776901_0.java,5,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naming/VersionsJoinTableRangeComponentTestEntity.java,76,88,AUTO-D,accidentally similar hashCode() and equals(),EX-D,accidentally similar hashCode() and equals()
12776901_0.java,5,17,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-envers/src/test/java/org/hibernate/envers/test/integration/naming/VersionsJoinTableRangeTestEntitySuperClass.java,30,42,AUTO-D,accidentally similar hashCode() and equals(),EX-D,accidentally similar hashCode() and equals()
12776901_0.java,5,17,struts2-2.2.1-all/struts-2.2.1/src/apps/rest-showcase/src/main/java/org/apache/struts2/rest/example/Order.java,38,50,AUTO-D,accidentally similar hashCode() and equals(),EX-D,accidentally similar hashCode() and equals()
