3851674_0.java,22,41,lucene-4.3.0/lucene-4.3.0/highlighter/src/test/org/apache/lucene/search/postingshighlight/TestPostingsHighlighterRanking.java,160,178,BP,"similar equals() methods"
5886302_0.java,1,15,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/wizard/WizardSelectionPage.java,29,43,BP,"accidentally similar getter"
9709633_0.java,156,167,cayenne-3/cayenne-3.0.1-src/framework/cayenne-modeler/src/main/java/org/apache/cayenne/modeler/util/CellEditorForAttributeTable.java,63,74,BP,"accidentally similar getter"
13219118_0.java,12,27,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,"author of answer says he copied from this link http://www.rgagnon.com/javadetails/java-0426.html. in the qualitas project"
18137301_0.java,3,15,antlr4-4.0/tool/test/org/antlr/v4/test/TestPerformance.java,559,570,QS,"author of answer says ge copied code from antlr"
24924255_0.java,1,32,hibernate-release-4/hibernate-release-4.2.2.Final/project/hibernate-core/src/main/java/org/hibernate/criterion/Example.java,218,247,QS,"stackoverflow answer mentions the code in this link: http://grepcode.com/file/repo1.maven.org/maven2/org.hibernate/hibernate/3.2.7.ga/org/hibernate/criterion/Example.java"
25056629_1.java,1,14,iText-src-5/src/core/com/itextpdf/text/pdf/PdfWriter.java,538,551,QS,"question is about iText. Author of answer posts the code from iText that is an example of the shortcome pointed by the question"
2513183_0.java,106,159,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jdt/ui/actions/GenerateToStringAction.java,113,166,QS,"author says he copied from eclipse (outdated code)"
598007_0.java,1,13,eclipse_SDK/eclipse_SDK-4.3/src/src/org/eclipse/jface/dialogs/ProgressMonitorDialog.java,252,264,QS,"author of answer sayd he copied from Eclipse"
7504040_0.java,5,17,eclipse_SDK/eclipse_SDK-4.3/src/src/junitsrc/org/junit/rules/ExternalResource.java,8,20,QS,"authors says he copied form junit"
7504040_0.java,5,17,junit-4/org/junit/rules/ExternalResource.java,8,20,QS,"author asks a question says he copied from junit "
