10396359_0.java,1,35,apache-roller-4.0.1/apache-roller-src-4.0.1/tomcat/work/Catalina/localhost/roller/org/apache/jsp/WEB_002dINF/jsps/tiles/css_002dnosidebar_jsp.java,20,58,BP,auto generated by JSP,UD,similar _jspService() method,,
10396359_0.java,1,35,apache-roller-4.0.1/apache-roller-src-4.0.1/tomcat/work/Catalina/localhost/roller/org/apache/jsp/WEB_002dINF/jsps/tiles/empty_jsp.java,20,54,BP,auto generated by JSP,UD,similar _jspService() method,,
11092289_1.java,26,42,iReport-3/iReport-3.7.5-src/jasperserver-plugin/src/com/jaspersoft/ireport/jasperserver/ws/IReportSSLSocketFactory.java,49,71,UD,"cloned code. not evidence from where. code in qualitas older than stackoverflow answer, but code on SO snippet seems to be from a different system",BP,similar implementation of creating SSL socket connection.,,
11187462_0.java,44,61,c-jdbc-2/c-jdbc-2.0.2-src/src/org/objectweb/cjdbc/common/util/LoggingOutputStream.java,36,52,AC,"the snipped is a direct copy from log4j, and the jdbc is also a copy from log4j. Thus, there's no connection between the SO snipper and the Qualitas code.",IN,Both classes extend OutputStream and hence share method similar methods. SO answer is copied from https://svn.apache.org/viewvc/logging/log4j/trunk/contribs/JimMoore/LoggingOutputStream.java?view=co,,
11368428_1.java,1,27,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/demo/BarChartDemo1.java,29,55,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed",UD,The code are very similar without any reference.,,
11368428_1.java,1,27,jfreechart-1/jfreechart-1.0.13/swt/org/jfree/experimental/chart/swt/demo/SWTBarChartDemo1.java,19,45,QS,"answer mentions JFreeChart, author of answer suggests to use the following SO snippet with the solution he proposed",UD,SO answer does not say that the code is copied from jfreechart. But very likely,,
12377779_0.java,1,37,netbeans-6.9.1-201007282301/kenai.ui/src/org/netbeans/modules/kenai/ui/treelist/TreeList.java,125,159,QS,author copied code from specific class on netbeans to answer the question,UD,the getToolTipText() are similar,,
12427981_1.java,17,33,apache-log4j-1.2.16/apache-log4j-1.2.16/contribs/JimMoore/LoggingOutputStream.java,32,48,QS,MOTIVATION author of answer says he's copying and pasting from apache project.,UD,Very similar pair of code extending OutputStream,,
12427981_1.java,17,33,c-jdbc-2/c-jdbc-2.0.2-src/src/org/objectweb/cjdbc/common/util/LoggingOutputStream.java,36,52,EX,"the snipped is a direct copy from log4j, and the jdbc is also a copy from log4j.",IN,Both classes extend OutputStream and hence share method similar methods. SO answer is copied from http://commons.apache.org/proper/commons-exec/,,
12879764_0.java,1,41,iReport-3/iReport-3.7.5-src/ireport-designer/src/com/jaspersoft/ireport/designer/templates/TemplateRenderer.java,124,177,EX,ONE-SIDED evidence that SO copied from book. not sure if Qualitas is original or copied from book too,BP,SO answer says that the code is adapted from the book Filthy Rich Client (http://filthyrichclients.org). The code in iReport does not say it is copied from anywhere.,,
12936580_0.java,63,197,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,443,578,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution,UD,SO answer says the code is a merge of XYPlot and XYLineAndShapeRenderer.,,
12936580_0.java,63,197,jfreechart-1/jfreechart-1.0.13/source/org/jfree/chart/renderer/xy/AbstractXYItemRenderer.java,596,731,QS,question is about JFreeChart. author of answer says he combined codes to achieve solution,UD,SO answer says it merges code from XYPlot and XYLineAndShapeRenderer. Several methods are similar.,,
13219118_0.java,12,27,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_EN.java,49,64,QS,SO copied code from web. web copies code from Qualitas. Q to S via web,BP,Constructors are very similar (except the names). Might be IDE-generated though.,,
13219118_0.java,12,27,Compiere_330_Source/release_330/ad/src/org/compiere/translate/AmtInWords_FR.java,49,69,QS,author of answer says he copied from this link http://www.rgagnon.com/javadetails/java-0426.html. in the qualitas project,EX,SO answer says that the code is copied from http://www.rgagnon.com/javadetails/java-0426.html and the Q code also has a comment that it is from the same place.,,
13302801_0.java,84,102,netbeans-6.9.1-201007282301/java.source/test/unit/data/jdk/JTable.java,1434,1450,UD,"cloned code, no evidence",IN,both classes implement TableCellRenderer and have similar getTableCellRendererComponent(),,
13524878_0.java,1,16,netbeans-6.9.1-201007282301/java.source/test/unit/data/jdk/JTable.java,1469,1484,QS,SO provides code to point to the problem the author of the question had.,UD,SO answer says Jtable#stopCellEditing but might be a different Jtable class,,
14940863_0.java,1,26,jstock-1.0.7c/jstock/src/org/yccheok/jstock/alert/GoogleMail.java,18,43,QS,SO says he copied from jstock,UD,SO answer says the code is copied from jstock GoogleMail.java (http://jstock.hg.sourceforge.net/hgweb/jstock/jstock/file/d9290c44d19c/src/org/yccheok/jstock/alert/GoogleMail.java),,
15110171_0.java,23,40,struts2-2.2.1-all/struts-2.2.1/src/xwork-core/src/main/java/com/opensymphony/xwork2/validator/validators/StringLengthFieldValidator.java,25,42,QS,SO says he based on struts code to provide solution,UD,similar code to validate string length,,
15260207_0.java,80,126,freemind-src-0/freemind/accessories/plugins/dialogs/ArrayListTransferHandler.java,27,71,EX,ONE-SIDED SO says he copied from the web. no evidence if Qualitas is original or copied from WEB,IN,both classes extend TransferHandler and have similar methods,,
